id,state,district,village,asset_type,asset_name,asset_holder_name,area_ha,ndvi,ndwi,confidence_score,gps_lat,gps_lon,status,last_survey_date,notes,Jal_Jeevan_Mission,MGNREGA,DAJGUA
447,Tripura,Agartala,Kamlapur,farm,Kamlapur MGNREGA Farm 207,Saurabh Naidu,3.92,0.824,0.07,0.9,20.06004,83.333677,under construction,2025-05-10,part of MGNREGA initiative,no,yes,no
448,Tripura,Kailashahar,Gandhinagar,pipeline,Gandhinagar MGNREGA Pipeline 208,Rajesh Singh,0.3,0.108,0.487,0.88,20.263677,82.487195,under construction,2025-08-12,part of MGNREGA initiative,no,yes,no
449,Madhya Pradesh,Indore,Chandpur,tank,Chandpur MGNREGA Tank 209,Saurabh Reddy,2.29,0.069,0.558,0.77,18.083184,81.274132,active,2025-01-05,part of MGNREGA initiative,no,yes,no
450,Odisha,Bhubaneswar,Rampur,pipeline,Rampur Jal Jeevan Mission Pipeline 210,Mohan Sharma,1.58,0.097,0.626,0.77,23.96158,87.622916,active,2024-01-22,part of Jal Jeevan Mission initiative,yes,no,no
451,Telangana,Warangal,Kamlapur,pipeline,Kamlapur Jal Jeevan Mission Pipeline 211,Manoj Singh,1.21,0.603,0.299,0.91,20.193251,84.352449,good,2025-01-01,part of Jal Jeevan Mission initiative,yes,no,no
452,Telangana,Nizamabad,Kamlapur,well,Kamlapur MGNREGA Well 212,Lalita Reddy,3.54,0.438,0.555,0.81,20.672196,79.580403,active,2024-11-05,part of MGNREGA initiative,no,yes,no
453,Telangana,Hyderabad,Gandhinagar,pipeline,Gandhinagar MGNREGA Pipeline 213,Pooja Behera,2.01,0.498,0.206,0.97,25.010888,82.431069,good,2025-06-07,part of MGNREGA initiative,no,yes,no
454,Odisha,Cuttack,Sukhi,checkdam,Sukhi DAJGUA Checkdam 214,Meera Behera,3.41,0.508,0.524,0.93,24.009284,87.841653,under construction,2024-11-12,part of DAJGUA initiative,no,no,yes
455,Odisha,Rourkela,Rampur,well,Rampur DAJGUA Well 215,Anita Naidu,1.43,0.704,0.78,0.77,25.16581,83.473084,good,2025-01-09,part of DAJGUA initiative,no,no,yes
456,Tripura,Dharmanagar,Dharampur,farm,Dharampur DAJGUA Farm 216,Savita Singh,0.56,0.624,0.293,0.82,19.057234,80.653484,under construction,2025-01-12,part of DAJGUA initiative,no,no,yes
457,Madhya Pradesh,Bhopal,Rampur,pond,Rampur Jal Jeevan Mission Pond 217,Rajesh Patel,0.41,0.477,0.17,0.8,25.752894,84.351615,good,2025-03-08,part of Jal Jeevan Mission initiative,yes,no,no
458,Telangana,Hyderabad,Rampur,pipeline,Rampur Jal Jeevan Mission Pipeline 218,Rajesh Tiwari,1.85,0.808,0.229,0.97,18.477733,80.708223,good,2024-05-09,part of Jal Jeevan Mission initiative,yes,no,no
459,Telangana,Warangal,Pahadi,pipeline,Pahadi Jal Jeevan Mission Pipeline 219,Manoj Patel,2.4,0.325,0.148,0.73,20.111954,80.646087,good,2024-09-25,part of Jal Jeevan Mission initiative,yes,no,no
460,Madhya Pradesh,Jabalpur,Kalyanpur,well,Kalyanpur DAJGUA Well 220,Saurabh Verma,0.65,0.432,0.146,0.71,26.24856,86.308347,seasonal,2025-04-06,part of DAJGUA initiative,no,no,yes
461,Telangana,Karimnagar,Rampur,pond,Rampur DAJGUA Pond 221,Rajesh Singh,0.6,0.382,0.763,0.8,21.022849,87.645341,good,2024-05-28,part of DAJGUA initiative,no,no,yes
462,Tripura,Udaipur,Sukhi,pond,Sukhi Jal Jeevan Mission Pond 222,Deepak Naidu,4.73,0.724,0.076,0.97,25.199847,79.997537,active,2024-01-25,part of Jal Jeevan Mission initiative,yes,no,no
463,Telangana,Nizamabad,Pahadi,checkdam,Pahadi Jal Jeevan Mission Checkdam 223,Sunita Verma,2.62,0.179,0.317,0.92,25.352053,85.022476,seasonal,2025-03-19,part of Jal Jeevan Mission initiative,yes,no,no
464,Tripura,Kailashahar,Chandpur,pipeline,Chandpur MGNREGA Pipeline 224,Deepak Rao,3.2,0.882,0.795,0.72,20.842421,84.521142,active,2025-03-18,part of MGNREGA initiative,no,yes,no
465,Odisha,Sambalpur,Kalyanpur,tank,Kalyanpur Jal Jeevan Mission Tank 225,Ramesh Verma,0.91,0.618,0.425,0.76,21.394691,82.363772,seasonal,2024-08-03,part of Jal Jeevan Mission initiative,yes,no,no
466,Odisha,Bhubaneswar,Gandhinagar,well,Gandhinagar Jal Jeevan Mission Well 226,Rohit Sharma,4.37,0.719,0.525,0.97,22.540628,81.1016,good,2024-10-01,part of Jal Jeevan Mission initiative,yes,no,no
467,Telangana,Karimnagar,Sukhi,tank,Sukhi MGNREGA Tank 227,Deepak Singh,2.45,0.871,0.414,0.78,22.788071,83.322049,active,2025-05-02,part of MGNREGA initiative,no,yes,no
468,Telangana,Karimnagar,Chandpur,pond,Chandpur Jal Jeevan Mission Pond 228,Saurabh Tiwari,4.86,0.356,0.113,0.77,19.946193,86.027852,seasonal,2024-10-19,part of Jal Jeevan Mission initiative,yes,no,no
469,Tripura,Agartala,Dharampur,well,Dharampur Jal Jeevan Mission Well 229,Lalita Reddy,0.62,0.619,0.701,0.75,25.158691,85.405377,good,2024-05-03,part of Jal Jeevan Mission initiative,yes,no,no
470,Telangana,Nizamabad,Pahadi,pond,Pahadi MGNREGA Pond 230,Sunita Naidu,4.44,0.3,0.259,0.82,22.026845,84.086336,seasonal,2025-08-17,part of MGNREGA initiative,no,yes,no
471,Tripura,Udaipur,Kamlapur,well,Kamlapur DAJGUA Well 231,Rajesh Sharma,2.96,0.346,0.661,0.76,20.910945,85.355575,active,2024-01-23,part of DAJGUA initiative,no,no,yes
472,Tripura,Agartala,Kamlapur,tank,Kamlapur Jal Jeevan Mission Tank 232,Rajesh Behera,2.91,0.143,0.607,0.87,20.880364,78.913922,seasonal,2025-06-27,part of Jal Jeevan Mission initiative,yes,no,no
473,Telangana,Warangal,Rampur,pipeline,Rampur Jal Jeevan Mission Pipeline 233,Sita Reddy,3.33,0.453,0.525,0.73,17.575673,78.444905,seasonal,2025-01-30,part of Jal Jeevan Mission initiative,yes,no,no
474,Telangana,Nizamabad,Rampur,pipeline,Rampur DAJGUA Pipeline 234,Rajesh Yadav,1.8,0.206,0.359,0.85,19.430128,79.470709,under construction,2024-06-07,part of DAJGUA initiative,no,no,yes
475,Tripura,Kailashahar,Pahadi,tank,Pahadi Jal Jeevan Mission Tank 235,Deepak Singh,2.2,0.819,0.773,0.97,18.578079,80.233948,good,2025-05-22,part of Jal Jeevan Mission initiative,yes,no,no
476,Tripura,Agartala,Kalyanpur,pipeline,Kalyanpur DAJGUA Pipeline 236,Meera Das,3.09,0.098,0.384,0.97,22.87285,80.144745,active,2024-01-10,part of DAJGUA initiative,no,no,yes
477,Tripura,Kailashahar,Sukhi,tank,Sukhi DAJGUA Tank 237,Vikram Behera,0.33,0.174,0.639,0.89,26.88959,84.310087,active,2024-02-07,part of DAJGUA initiative,no,no,yes
478,Telangana,Karimnagar,Kamlapur,pond,Kamlapur DAJGUA Pond 238,Ramesh Behera,4.06,0.129,0.082,0.78,18.809167,86.607377,under construction,2024-04-02,part of DAJGUA initiative,no,no,yes
479,Madhya Pradesh,Ujjain,Sukhi,farm,Sukhi Jal Jeevan Mission Farm 239,Meera Reddy,3.73,0.226,0.61,0.89,21.380585,87.500724,good,2025-03-05,part of Jal Jeevan Mission initiative,yes,no,no
480,Madhya Pradesh,Jabalpur,Dharampur,checkdam,Dharampur Jal Jeevan Mission Checkdam 240,Ramesh Behera,4.61,0.79,0.746,0.84,26.775436,87.20102,good,2024-12-20,part of Jal Jeevan Mission initiative,yes,no,no
481,Telangana,Hyderabad,Rampur,pipeline,Rampur DAJGUA Pipeline 241,Rajesh Singh,4.87,0.246,0.278,0.98,17.037394,86.186283,seasonal,2025-06-25,part of DAJGUA initiative,no,no,yes
482,Madhya Pradesh,Satna,Chandpur,pond,Chandpur MGNREGA Pond 242,Sita Rao,1.73,0.351,0.091,0.89,26.681316,85.45602,under construction,2025-03-18,part of MGNREGA initiative,no,yes,no
483,Odisha,Sambalpur,Sukhi,farm,Sukhi MGNREGA Farm 243,Sunita Sharma,4.32,0.438,0.639,0.75,22.148462,87.672485,active,2025-01-22,part of MGNREGA initiative,no,yes,no
484,Telangana,Hyderabad,Bela,forest,Bela MGNREGA Forest 244,Sunita Mishra,1.8,0.774,0.05,0.81,18.037681,84.580024,under construction,2024-03-21,part of MGNREGA initiative,no,yes,no
485,Tripura,Agartala,Dharampur,pond,Dharampur MGNREGA Pond 245,Anita Verma,3.04,0.558,0.732,0.8,25.475055,83.277071,under construction,2025-08-14,part of MGNREGA initiative,no,yes,no
486,Telangana,Nizamabad,Sukhi,tank,Sukhi Jal Jeevan Mission Tank 246,Deepak Reddy,2.65,0.556,0.268,0.86,18.893912,81.078917,active,2024-05-15,part of Jal Jeevan Mission initiative,yes,no,no
487,Tripura,Udaipur,Kamlapur,forest,Kamlapur Jal Jeevan Mission Forest 247,Geeta Patel,2.43,0.209,0.101,0.83,25.400563,85.083497,seasonal,2024-02-18,part of Jal Jeevan Mission initiative,yes,no,no
488,Tripura,Udaipur,Bela,forest,Bela MGNREGA Forest 248,Geeta Yadav,2.83,0.13,0.439,0.96,19.729791,83.679419,seasonal,2024-12-17,part of MGNREGA initiative,no,yes,no
489,Tripura,Dharmanagar,Kamlapur,tank,Kamlapur Jal Jeevan Mission Tank 249,Lalita Naidu,1.79,0.554,0.43,0.91,23.271641,80.589643,active,2024-09-24,part of Jal Jeevan Mission initiative,yes,no,no
490,Odisha,Balasore,Sukhi,tank,Sukhi DAJGUA Tank 250,Arun Naidu,2.9,0.851,0.099,0.87,19.339934,87.479598,good,2024-12-04,part of DAJGUA initiative,no,no,yes
491,Madhya Pradesh,Jabalpur,Kamlapur,pond,Kamlapur MGNREGA Pond 251,Mohan Singh,4.33,0.742,0.541,0.94,22.860131,86.133968,under construction,2024-01-27,part of MGNREGA initiative,no,yes,no
492,Telangana,Nizamabad,Chandpur,checkdam,Chandpur DAJGUA Checkdam 252,Vikram Rao,3.48,0.421,0.531,0.76,22.774068,86.029341,under construction,2024-05-17,part of DAJGUA initiative,no,no,yes
493,Telangana,Warangal,Gandhinagar,well,Gandhinagar DAJGUA Well 253,Saurabh Das,1.19,0.425,0.457,0.9,19.685363,86.613578,active,2025-07-03,part of DAJGUA initiative,no,no,yes
494,Madhya Pradesh,Jabalpur,Kamlapur,farm,Kamlapur MGNREGA Farm 254,Vikram Yadav,3.9,0.773,0.744,0.72,19.342468,85.909867,active,2024-02-24,part of MGNREGA initiative,no,yes,no
495,Madhya Pradesh,Indore,Kamlapur,pipeline,Kamlapur MGNREGA Pipeline 255,Sunita Reddy,4.27,0.739,0.445,0.86,24.580684,86.410314,good,2024-11-30,part of MGNREGA initiative,no,yes,no
496,Madhya Pradesh,Satna,Pahadi,farm,Pahadi MGNREGA Farm 256,Kiran Sharma,2.06,0.723,0.628,0.72,17.242295,78.374355,good,2024-12-21,part of MGNREGA initiative,no,yes,no
497,Madhya Pradesh,Ujjain,Rampur,forest,Rampur Jal Jeevan Mission Forest 257,Anita Rao,3.34,0.127,0.143,0.76,22.902192,83.913424,seasonal,2025-05-24,part of Jal Jeevan Mission initiative,yes,no,no
498,Tripura,Agartala,Pahadi,checkdam,Pahadi DAJGUA Checkdam 258,Meera Yadav,3.68,0.506,0.023,0.92,18.650952,83.887588,under construction,2025-05-31,part of DAJGUA initiative,no,no,yes
499,Tripura,Udaipur,Bela,forest,Bela MGNREGA Forest 259,Vikram Tiwari,1.79,0.746,0.077,0.76,17.019326,79.483396,seasonal,2025-08-22,part of MGNREGA initiative,no,yes,no
500,Telangana,Hyderabad,Bela,pipeline,Bela MGNREGA Pipeline 260,Saurabh Mishra,4.13,0.523,0.738,0.71,22.694037,86.638006,good,2024-07-11,part of MGNREGA initiative,no,yes,no
501,Telangana,Nizamabad,Rampur,pipeline,Rampur MGNREGA Pipeline 261,Arun Tiwari,4.25,0.637,0.365,0.73,22.592691,86.442976,under construction,2024-08-15,part of MGNREGA initiative,no,yes,no
502,Telangana,Nizamabad,Gandhinagar,pond,Gandhinagar DAJGUA Pond 262,Mohan Reddy,2.5,0.839,0.388,0.96,25.749558,85.701134,seasonal,2025-03-04,part of DAJGUA initiative,no,no,yes
503,Odisha,Sambalpur,Sukhi,farm,Sukhi MGNREGA Farm 263,Kiran Naidu,0.43,0.606,0.158,0.95,25.013481,81.658811,seasonal,2025-08-10,part of MGNREGA initiative,no,yes,no
504,Odisha,Balasore,Chandpur,well,Chandpur DAJGUA Well 264,Deepak Tiwari,1.49,0.68,0.462,0.89,21.382154,79.349076,good,2025-04-18,part of DAJGUA initiative,no,no,yes
505,Tripura,Udaipur,Rampur,pond,Rampur DAJGUA Pond 265,Arun Patel,2.91,0.088,0.043,0.82,26.143161,78.097226,good,2024-08-24,part of DAJGUA initiative,no,no,yes
506,Madhya Pradesh,Bhopal,Gandhinagar,pipeline,Gandhinagar DAJGUA Pipeline 266,Saurabh Das,3.19,0.537,0.775,0.89,18.180946,87.773715,good,2025-07-12,part of DAJGUA initiative,no,no,yes
507,Telangana,Warangal,Gandhinagar,pond,Gandhinagar MGNREGA Pond 267,Kiran Reddy,0.63,0.842,0.665,0.9,23.603068,81.115183,seasonal,2025-04-11,part of MGNREGA initiative,no,yes,no
508,Madhya Pradesh,Bhopal,Bela,well,Bela Jal Jeevan Mission Well 268,Anita Reddy,3.02,0.075,0.282,0.88,26.590655,86.821034,seasonal,2025-03-05,part of Jal Jeevan Mission initiative,yes,no,no
509,Tripura,Agartala,Sukhi,farm,Sukhi MGNREGA Farm 269,Manoj Sharma,1.11,0.687,0.438,0.91,17.367356,83.783989,active,2024-09-18,part of MGNREGA initiative,no,yes,no
510,Odisha,Bhubaneswar,Kalyanpur,well,Kalyanpur DAJGUA Well 270,Ajay Rao,2.17,0.537,0.395,0.94,20.832972,78.109325,seasonal,2024-03-08,part of DAJGUA initiative,no,no,yes
511,Odisha,Cuttack,Kamlapur,pond,Kamlapur MGNREGA Pond 271,Saurabh Singh,2.2,0.096,0.331,0.83,23.790552,83.793144,seasonal,2024-02-03,part of MGNREGA initiative,no,yes,no
512,Telangana,Karimnagar,Pahadi,farm,Pahadi Jal Jeevan Mission Farm 272,Vikram Yadav,0.46,0.343,0.058,0.83,18.667738,83.864557,under construction,2024-10-22,part of Jal Jeevan Mission initiative,yes,no,no
513,Telangana,Karimnagar,Pahadi,farm,Pahadi DAJGUA Farm 273,Meera Tiwari,2.02,0.557,0.04,0.85,26.476582,81.945285,seasonal,2024-02-04,part of DAJGUA initiative,no,no,yes
514,Tripura,Agartala,Dharampur,tank,Dharampur DAJGUA Tank 274,Vikram Yadav,2.73,0.357,0.133,0.74,26.770922,81.403049,active,2024-08-04,part of DAJGUA initiative,no,no,yes
515,Telangana,Nizamabad,Dharampur,farm,Dharampur DAJGUA Farm 275,Mohan Verma,0.36,0.211,0.025,0.72,17.027664,78.302785,under construction,2025-05-01,part of DAJGUA initiative,no,no,yes
516,Telangana,Warangal,Dharampur,checkdam,Dharampur DAJGUA Checkdam 276,Sunita Mishra,1.46,0.526,0.361,0.86,24.347928,85.325322,active,2024-10-19,part of DAJGUA initiative,no,no,yes
517,Telangana,Warangal,Dharampur,forest,Dharampur MGNREGA Forest 277,Meera Yadav,2.15,0.173,0.794,0.83,18.738319,86.654669,under construction,2024-06-17,part of MGNREGA initiative,no,yes,no
518,Telangana,Nizamabad,Kamlapur,checkdam,Kamlapur Jal Jeevan Mission Checkdam 278,Meera Reddy,1.82,0.431,0.562,0.94,22.541927,80.749844,under construction,2024-04-03,part of Jal Jeevan Mission initiative,yes,no,no
519,Telangana,Nizamabad,Kamlapur,checkdam,Kamlapur DAJGUA Checkdam 279,Sunita Patel,2.79,0.701,0.306,0.84,18.466606,87.058429,good,2024-01-11,part of DAJGUA initiative,no,no,yes
520,Odisha,Balasore,Kalyanpur,well,Kalyanpur DAJGUA Well 280,Rohit Verma,4.67,0.827,0.669,0.72,21.958091,79.013732,good,2025-03-05,part of DAJGUA initiative,no,no,yes
521,Odisha,Bhubaneswar,Rampur,well,Rampur Jal Jeevan Mission Well 281,Savita Mishra,3.64,0.077,0.644,0.74,24.799252,83.554672,active,2025-08-28,part of Jal Jeevan Mission initiative,yes,no,no
522,Madhya Pradesh,Ujjain,Dharampur,checkdam,Dharampur Jal Jeevan Mission Checkdam 282,Arun Naidu,4.77,0.62,0.301,0.98,26.321663,79.8173,good,2024-06-02,part of Jal Jeevan Mission initiative,yes,no,no
523,Odisha,Bhubaneswar,Gandhinagar,pipeline,Gandhinagar DAJGUA Pipeline 283,Sita Singh,2.22,0.884,0.41,0.87,17.267294,84.280147,active,2024-06-02,part of DAJGUA initiative,no,no,yes
524,Odisha,Cuttack,Rampur,tank,Rampur DAJGUA Tank 284,Pooja Patel,4.76,0.232,0.115,0.73,18.642558,87.066538,active,2025-03-22,part of DAJGUA initiative,no,no,yes
525,Telangana,Nizamabad,Dharampur,pipeline,Dharampur Jal Jeevan Mission Pipeline 285,Rajesh Tiwari,4.5,0.503,0.19,0.72,25.654593,81.381738,seasonal,2025-03-12,part of Jal Jeevan Mission initiative,yes,no,no
526,Odisha,Sambalpur,Kalyanpur,tank,Kalyanpur DAJGUA Tank 286,Saurabh Sharma,4.08,0.306,0.591,0.9,19.892897,82.53879,under construction,2024-04-12,part of DAJGUA initiative,no,no,yes
527,Madhya Pradesh,Rewa,Sukhi,forest,Sukhi DAJGUA Forest 287,Pooja Yadav,1.11,0.579,0.763,0.96,17.429432,83.428082,seasonal,2025-03-31,part of DAJGUA initiative,no,no,yes
528,Tripura,Kailashahar,Kamlapur,pond,Kamlapur DAJGUA Pond 288,Sunita Yadav,1.29,0.135,0.625,0.88,18.146924,83.363715,under construction,2024-05-09,part of DAJGUA initiative,no,no,yes
529,Telangana,Nizamabad,Dharampur,checkdam,Dharampur MGNREGA Checkdam 289,Deepak Sharma,1.38,0.512,0.745,0.85,17.968518,86.579219,under construction,2025-05-05,part of MGNREGA initiative,no,yes,no
530,Telangana,Warangal,Kamlapur,forest,Kamlapur DAJGUA Forest 290,Meera Behera,4.77,0.172,0.152,0.74,19.909233,80.423897,active,2024-11-02,part of DAJGUA initiative,no,no,yes
531,Odisha,Rourkela,Rampur,pipeline,Rampur MGNREGA Pipeline 291,Sunita Mishra,1.98,0.75,0.067,0.77,20.627392,79.743854,active,2025-08-14,part of MGNREGA initiative,no,yes,no
532,Madhya Pradesh,Rewa,Kalyanpur,pipeline,Kalyanpur MGNREGA Pipeline 292,Vikram Reddy,4.79,0.497,0.616,0.95,18.782014,81.905403,active,2024-06-23,part of MGNREGA initiative,no,yes,no
533,Odisha,Sambalpur,Dharampur,tank,Dharampur DAJGUA Tank 293,Geeta Das,0.36,0.503,0.703,0.92,23.914825,83.925863,active,2025-01-19,part of DAJGUA initiative,no,no,yes
534,Telangana,Karimnagar,Sukhi,forest,Sukhi DAJGUA Forest 294,Savita Verma,4.79,0.168,0.55,0.87,18.676318,81.876769,good,2025-04-25,part of DAJGUA initiative,no,no,yes
535,Tripura,Kailashahar,Pahadi,pond,Pahadi DAJGUA Pond 295,Arun Das,2.42,0.404,0.75,0.74,24.713076,83.938049,active,2024-06-18,part of DAJGUA initiative,no,no,yes
536,Odisha,Cuttack,Chandpur,pipeline,Chandpur DAJGUA Pipeline 296,Lalita Behera,1.11,0.176,0.279,0.9,22.629076,86.101898,active,2024-11-04,part of DAJGUA initiative,no,no,yes
537,Odisha,Sambalpur,Rampur,pipeline,Rampur DAJGUA Pipeline 297,Mohan Das,1.87,0.298,0.484,0.95,23.075208,87.372839,active,2024-07-23,part of DAJGUA initiative,no,no,yes
538,Madhya Pradesh,Rewa,Kalyanpur,well,Kalyanpur Jal Jeevan Mission Well 298,Manoj Reddy,4.39,0.802,0.571,0.86,22.856618,80.768875,good,2025-08-24,part of Jal Jeevan Mission initiative,yes,no,no
539,Madhya Pradesh,Ujjain,Pahadi,pond,Pahadi MGNREGA Pond 299,Pooja Singh,3.75,0.078,0.544,0.91,26.88234,79.363611,seasonal,2024-09-10,part of MGNREGA initiative,no,yes,no
540,Tripura,Kailashahar,Kamlapur,farm,Kamlapur DAJGUA Farm 300,Neha Patel,3.07,0.134,0.494,0.71,26.282136,85.75683,good,2024-04-29,part of DAJGUA initiative,no,no,yes
541,Telangana,Hyderabad,Dharampur,tank,Dharampur DAJGUA Tank 301,Arun Tiwari,1.81,0.661,0.049,0.71,19.596917,79.828127,seasonal,2025-02-25,part of DAJGUA initiative,no,no,yes
542,Telangana,Warangal,Kalyanpur,well,Kalyanpur DAJGUA Well 302,Sunita Das,3.2,0.051,0.464,0.94,17.125397,81.977568,good,2024-05-28,part of DAJGUA initiative,no,no,yes
543,Telangana,Nizamabad,Rampur,pond,Rampur Jal Jeevan Mission Pond 303,Manoj Singh,4.42,0.384,0.443,0.95,19.302181,85.660573,active,2024-06-03,part of Jal Jeevan Mission initiative,yes,no,no
544,Odisha,Balasore,Sukhi,tank,Sukhi Jal Jeevan Mission Tank 304,Rohit Patel,3.84,0.418,0.366,0.76,26.090301,85.438323,seasonal,2025-08-14,part of Jal Jeevan Mission initiative,yes,no,no
545,Odisha,Balasore,Sukhi,well,Sukhi DAJGUA Well 305,Geeta Yadav,1.89,0.773,0.079,0.77,26.221636,84.426727,active,2025-05-10,part of DAJGUA initiative,no,no,yes
546,Madhya Pradesh,Ujjain,Gandhinagar,tank,Gandhinagar MGNREGA Tank 306,Manoj Patel,3.47,0.37,0.386,0.91,17.046089,78.059003,active,2024-01-26,part of MGNREGA initiative,no,yes,no
547,Tripura,Agartala,Chandpur,well,Chandpur MGNREGA Well 307,Lalita Verma,4.85,0.502,0.585,0.76,19.013286,82.701322,seasonal,2025-06-21,part of MGNREGA initiative,no,yes,no
548,Telangana,Karimnagar,Sukhi,pipeline,Sukhi MGNREGA Pipeline 308,Saurabh Behera,1.61,0.779,0.167,0.71,20.436862,83.563107,under construction,2024-02-13,part of MGNREGA initiative,no,yes,no
549,Tripura,Udaipur,Pahadi,checkdam,Pahadi MGNREGA Checkdam 309,Lalita Sharma,4.97,0.523,0.472,0.87,21.612612,79.4493,seasonal,2025-08-28,part of MGNREGA initiative,no,yes,no
550,Telangana,Karimnagar,Rampur,well,Rampur DAJGUA Well 310,Rajesh Sharma,3.3,0.369,0.695,0.79,23.634373,85.464086,seasonal,2024-11-07,part of DAJGUA initiative,no,no,yes
551,Tripura,Udaipur,Rampur,pond,Rampur MGNREGA Pond 311,Sunita Sharma,0.93,0.284,0.563,0.82,18.294358,81.364516,good,2024-03-20,part of MGNREGA initiative,no,yes,no
552,Madhya Pradesh,Jabalpur,Sukhi,pipeline,Sukhi DAJGUA Pipeline 312,Geeta Rao,4.66,0.34,0.353,0.76,20.753202,79.593567,seasonal,2024-08-10,part of DAJGUA initiative,no,no,yes
553,Odisha,Sambalpur,Chandpur,pond,Chandpur DAJGUA Pond 313,Anita Verma,1.15,0.62,0.213,0.87,24.025821,78.970913,seasonal,2024-01-08,part of DAJGUA initiative,no,no,yes
554,Odisha,Sambalpur,Kamlapur,forest,Kamlapur Jal Jeevan Mission Forest 314,Saurabh Behera,4.26,0.115,0.14,0.83,17.11709,87.092608,active,2024-08-11,part of Jal Jeevan Mission initiative,yes,no,no
555,Tripura,Kailashahar,Sukhi,pipeline,Sukhi MGNREGA Pipeline 315,Rajesh Rao,4.88,0.057,0.073,0.9,22.520872,86.300959,good,2024-11-12,part of MGNREGA initiative,no,yes,no
556,Telangana,Hyderabad,Bela,forest,Bela DAJGUA Forest 316,Anita Sharma,2.21,0.513,0.179,0.85,18.448588,78.781697,good,2024-01-06,part of DAJGUA initiative,no,no,yes
557,Tripura,Dharmanagar,Gandhinagar,forest,Gandhinagar Jal Jeevan Mission Forest 317,Ramesh Das,3.18,0.371,0.499,0.94,20.224466,80.226896,good,2024-09-29,part of Jal Jeevan Mission initiative,yes,no,no
558,Telangana,Nizamabad,Pahadi,farm,Pahadi Jal Jeevan Mission Farm 318,Ajay Verma,2.11,0.08,0.402,0.93,20.241323,80.228678,active,2024-05-19,part of Jal Jeevan Mission initiative,yes,no,no
559,Odisha,Balasore,Pahadi,forest,Pahadi Jal Jeevan Mission Forest 319,Manoj Das,4.03,0.652,0.165,0.76,24.912492,79.462433,under construction,2025-01-06,part of Jal Jeevan Mission initiative,yes,no,no
560,Tripura,Kailashahar,Sukhi,well,Sukhi MGNREGA Well 320,Ramesh Behera,1.2,0.577,0.278,0.85,25.766824,79.59179,active,2024-02-06,part of MGNREGA initiative,no,yes,no
561,Telangana,Karimnagar,Pahadi,farm,Pahadi Jal Jeevan Mission Farm 321,Rajesh Rao,1.77,0.494,0.326,0.88,20.826081,80.673865,under construction,2025-01-09,part of Jal Jeevan Mission initiative,yes,no,no
562,Madhya Pradesh,Bhopal,Dharampur,pipeline,Dharampur Jal Jeevan Mission Pipeline 322,Lalita Rao,3.91,0.467,0.34,0.92,21.740678,80.6506,active,2025-08-10,part of Jal Jeevan Mission initiative,yes,no,no
563,Telangana,Nizamabad,Chandpur,tank,Chandpur MGNREGA Tank 323,Mohan Sharma,2.3,0.257,0.31,0.79,24.589032,78.941988,seasonal,2025-01-03,part of MGNREGA initiative,no,yes,no
564,Odisha,Balasore,Chandpur,pond,Chandpur MGNREGA Pond 324,Deepak Patel,2.28,0.895,0.763,0.7,26.786865,86.538183,under construction,2024-06-16,part of MGNREGA initiative,no,yes,no
565,Madhya Pradesh,Jabalpur,Kalyanpur,pond,Kalyanpur Jal Jeevan Mission Pond 325,Sunita Behera,4.23,0.293,0.457,0.77,17.762087,85.155777,good,2025-02-04,part of Jal Jeevan Mission initiative,yes,no,no
566,Odisha,Bhubaneswar,Pahadi,well,Pahadi MGNREGA Well 326,Manoj Behera,5.0,0.692,0.151,0.96,24.27089,85.260645,seasonal,2025-01-25,part of MGNREGA initiative,no,yes,no
567,Odisha,Balasore,Dharampur,well,Dharampur MGNREGA Well 327,Mohan Reddy,2.36,0.052,0.689,0.86,21.901526,85.27937,active,2024-09-27,part of MGNREGA initiative,no,yes,no
568,Telangana,Nizamabad,Gandhinagar,checkdam,Gandhinagar DAJGUA Checkdam 328,Kiran Naidu,4.6,0.891,0.32,0.86,21.653989,78.636399,under construction,2024-02-14,part of DAJGUA initiative,no,no,yes
569,Odisha,Balasore,Chandpur,farm,Chandpur DAJGUA Farm 329,Saurabh Sharma,2.37,0.23,0.622,0.86,25.482285,80.65527,active,2024-04-17,part of DAJGUA initiative,no,no,yes
570,Telangana,Nizamabad,Bela,forest,Bela Jal Jeevan Mission Forest 330,Geeta Rao,3.25,0.151,0.064,0.93,24.069495,81.730782,active,2024-03-30,part of Jal Jeevan Mission initiative,yes,no,no
571,Telangana,Warangal,Gandhinagar,tank,Gandhinagar DAJGUA Tank 331,Geeta Reddy,3.73,0.485,0.648,0.8,25.179295,80.494392,seasonal,2024-12-24,part of DAJGUA initiative,no,no,yes
572,Tripura,Kailashahar,Bela,pond,Bela DAJGUA Pond 332,Savita Mishra,2.25,0.281,0.627,0.77,26.025427,85.76062,seasonal,2024-02-16,part of DAJGUA initiative,no,no,yes
573,Madhya Pradesh,Bhopal,Kamlapur,well,Kamlapur DAJGUA Well 333,Sunita Tiwari,1.02,0.646,0.758,0.75,19.90042,87.476065,active,2024-06-05,part of DAJGUA initiative,no,no,yes
574,Telangana,Karimnagar,Kamlapur,tank,Kamlapur DAJGUA Tank 334,Ramesh Singh,1.51,0.351,0.75,0.72,23.400486,79.835457,seasonal,2024-04-26,part of DAJGUA initiative,no,no,yes
